date_key,yearmo,date,year,month,month_alpha
0,201201,2012-01-01,2012,1,January
1,201202,2012-02-01,2012,2,February
2,201203,2012-03-01,2012,3,March
3,201204,2012-04-01,2012,4,April
4,201205,2012-05-01,2012,5,May
5,201206,2012-06-01,2012,6,June
6,201207,2012-07-01,2012,7,July
7,201208,2012-08-01,2012,8,August
8,201209,2012-09-01,2012,9,September
9,201210,2012-10-01,2012,10,October
10,201211,2012-11-01,2012,11,November
11,201212,2012-12-01,2012,12,December
12,201301,2013-01-01,2013,1,January
13,201302,2013-02-01,2013,2,February
14,201303,2013-03-01,2013,3,March
15,201304,2013-04-01,2013,4,April
16,201305,2013-05-01,2013,5,May
17,201306,2013-06-01,2013,6,June
18,201307,2013-07-01,2013,7,July
19,201308,2013-08-01,2013,8,August
20,201309,2013-09-01,2013,9,September
21,201310,2013-10-01,2013,10,October
22,201311,2013-11-01,2013,11,November
23,201312,2013-12-01,2013,12,December
24,201401,2014-01-01,2014,1,January
25,201402,2014-02-01,2014,2,February
26,201403,2014-03-01,2014,3,March
27,201404,2014-04-01,2014,4,April
28,201405,2014-05-01,2014,5,May
29,201406,2014-06-01,2014,6,June
30,201407,2014-07-01,2014,7,July
31,201408,2014-08-01,2014,8,August
32,201409,2014-09-01,2014,9,September
33,201410,2014-10-01,2014,10,October
34,201411,2014-11-01,2014,11,November
35,201412,2014-12-01,2014,12,December
36,201501,2015-01-01,2015,1,January
37,201502,2015-02-01,2015,2,February
38,201503,2015-03-01,2015,3,March
39,201504,2015-04-01,2015,4,April
40,201505,2015-05-01,2015,5,May
41,201506,2015-06-01,2015,6,June
42,201507,2015-07-01,2015,7,July
43,201508,2015-08-01,2015,8,August
44,201509,2015-09-01,2015,9,September
45,201510,2015-10-01,2015,10,October
46,201511,2015-11-01,2015,11,November
47,201512,2015-12-01,2015,12,December
48,201601,2016-01-01,2016,1,January
49,201602,2016-02-01,2016,2,February
50,201603,2016-03-01,2016,3,March
51,201604,2016-04-01,2016,4,April
52,201605,2016-05-01,2016,5,May
53,201606,2016-06-01,2016,6,June
54,201607,2016-07-01,2016,7,July
55,201608,2016-08-01,2016,8,August
56,201609,2016-09-01,2016,9,September
57,201610,2016-10-01,2016,10,October
58,201611,2016-11-01,2016,11,November
59,201612,2016-12-01,2016,12,December
60,201701,2017-01-01,2017,1,January
61,201702,2017-02-01,2017,2,February
62,201703,2017-03-01,2017,3,March
63,201704,2017-04-01,2017,4,April
64,201705,2017-05-01,2017,5,May
65,201706,2017-06-01,2017,6,June
66,201707,2017-07-01,2017,7,July
67,201708,2017-08-01,2017,8,August
68,201709,2017-09-01,2017,9,September
69,201710,2017-10-01,2017,10,October
70,201711,2017-11-01,2017,11,November
71,201712,2017-12-01,2017,12,December
72,201801,2018-01-01,2018,1,January
73,201802,2018-02-01,2018,2,February
74,201803,2018-03-01,2018,3,March
75,201804,2018-04-01,2018,4,April
76,201805,2018-05-01,2018,5,May
77,201806,2018-06-01,2018,6,June
78,201807,2018-07-01,2018,7,July
79,201808,2018-08-01,2018,8,August
80,201809,2018-09-01,2018,9,September
81,201810,2018-10-01,2018,10,October
82,201811,2018-11-01,2018,11,November
83,201812,2018-12-01,2018,12,December
84,201901,2019-01-01,2019,1,January
85,201902,2019-02-01,2019,2,February
86,201903,2019-03-01,2019,3,March
87,201904,2019-04-01,2019,4,April
88,201905,2019-05-01,2019,5,May
89,201906,2019-06-01,2019,6,June
90,201907,2019-07-01,2019,7,July
91,201908,2019-08-01,2019,8,August
92,201909,2019-09-01,2019,9,September
93,201910,2019-10-01,2019,10,October
94,201911,2019-11-01,2019,11,November
95,201912,2019-12-01,2019,12,December
96,202001,2020-01-01,2020,1,January
97,202002,2020-02-01,2020,2,February
98,202003,2020-03-01,2020,3,March
99,202004,2020-04-01,2020,4,April
100,202005,2020-05-01,2020,5,May
101,202006,2020-06-01,2020,6,June
102,202007,2020-07-01,2020,7,July
103,202008,2020-08-01,2020,8,August
104,202009,2020-09-01,2020,9,September
105,202010,2020-10-01,2020,10,October
106,202011,2020-11-01,2020,11,November
107,202012,2020-12-01,2020,12,December
108,202101,2021-01-01,2021,1,January
109,202102,2021-02-01,2021,2,February
110,202103,2021-03-01,2021,3,March
111,202104,2021-04-01,2021,4,April
112,202105,2021-05-01,2021,5,May
113,202106,2021-06-01,2021,6,June
114,202107,2021-07-01,2021,7,July
115,202108,2021-08-01,2021,8,August
116,202109,2021-09-01,2021,9,September
117,202110,2021-10-01,2021,10,October
118,202111,2021-11-01,2021,11,November
119,202112,2021-12-01,2021,12,December
120,202201,2022-01-01,2022,1,January
121,202202,2022-02-01,2022,2,February
122,202203,2022-03-01,2022,3,March
123,202204,2022-04-01,2022,4,April
124,202205,2022-05-01,2022,5,May
125,202206,2022-06-01,2022,6,June
126,202207,2022-07-01,2022,7,July
127,202208,2022-08-01,2022,8,August
128,202209,2022-09-01,2022,9,September
129,202210,2022-10-01,2022,10,October
130,202211,2022-11-01,2022,11,November
131,202212,2022-12-01,2022,12,December
132,202301,2023-01-01,2023,1,January
133,202302,2023-02-01,2023,2,February
