real_estate_key,total_price_index,house_price_index,land_price_index,date_key,location_key
0,90.8,89.4,93.8,0,0
1,91.0,89.6,93.9,1,0
2,91.3,89.9,94.1,2,0
3,91.5,90.2,94.2,3,0
4,91.7,90.4,94.4,4,0
5,91.9,90.7,94.6,5,0
6,92.0,90.7,94.6,6,0
7,92.1,90.9,94.6,7,0
8,92.3,91.1,94.8,8,0
9,92.5,91.4,94.8,9,0
10,92.6,91.5,94.8,10,0
11,92.7,91.7,94.9,11,0
12,92.8,91.8,95.0,12,0
13,93.0,91.9,95.2,13,0
14,93.0,92.0,95.2,14,0
15,93.2,92.2,95.3,15,0
16,93.4,92.4,95.4,16,0
17,93.5,92.5,95.5,17,0
18,93.6,92.7,95.6,18,0
19,93.7,92.8,95.7,19,0
20,93.8,92.8,95.7,20,0
21,93.8,92.9,95.7,21,0
22,93.9,92.9,95.8,22,0
23,93.9,93.0,95.8,23,0
24,94.1,93.3,95.9,24,0
25,94.4,93.6,96.0,25,0
26,94.5,93.7,96.1,26,0
27,94.7,94.0,96.2,27,0
28,94.8,94.1,96.3,28,0
29,94.9,94.3,96.4,29,0
30,94.9,94.3,96.4,30,0
31,95.2,94.5,96.6,31,0
32,95.3,94.6,96.6,32,0
33,95.4,94.7,96.7,33,0
34,95.5,94.8,96.8,34,0
35,95.5,94.9,96.8,35,0
36,95.5,94.8,96.9,36,0
37,95.6,95.0,97.0,37,0
38,95.7,95.0,97.0,38,0
39,95.7,95.1,97.0,39,0
40,95.9,95.1,97.6,40,0
41,96.1,95.3,97.9,41,0
42,96.2,95.5,97.9,42,0
43,96.5,95.8,98.0,43,0
44,96.6,95.9,98.0,44,0
45,96.8,96.2,98.1,45,0
46,96.9,96.4,98.1,46,0
47,97.0,96.5,98.1,47,0
48,97.1,96.7,98.1,48,0
49,97.3,97.0,98.1,49,0
50,97.5,97.2,98.1,50,0
51,97.7,97.6,98.1,51,0
52,98.5,98.5,98.5,52,0
53,98.6,98.5,98.6,53,0
54,99.0,99.0,98.7,54,0
55,99.1,99.3,98.7,55,0
56,99.3,99.3,99.0,56,0
57,99.7,99.8,99.5,57,0
58,99.9,99.9,100.0,58,0
59,100.0,100.0,100.0,59,0
60,100.1,99.9,100.4,60,0
61,100.5,100.2,100.9,61,0
62,100.7,100.4,101.3,62,0
63,101.5,101.2,102.3,63,0
64,102.2,101.7,103.1,64,0
65,102.4,102.1,103.1,65,0
66,102.8,102.7,103.3,66,0
67,102.9,102.8,103.3,67,0
68,103.1,102.9,103.6,68,0
69,103.2,103.1,103.6,69,0
70,103.3,103.2,103.6,70,0
71,103.3,103.2,103.7,71,0
72,103.3,103.2,103.7,72,0
73,103.1,102.9,103.8,73,0
74,103.1,102.9,103.7,74,0
75,103.1,102.7,103.7,75,0
76,103.1,102.7,103.8,76,0
77,103.2,103.0,103.9,77,0
78,103.3,103.1,103.9,78,0
79,103.3,103.0,103.9,79,0
80,103.3,102.9,104.0,80,0
81,103.3,102.9,104.0,81,0
82,103.3,102.9,104.1,82,0
83,103.3,102.9,104.1,83,0
84,103.2,102.8,104.1,84,0
85,103.2,102.8,104.1,85,0
86,103.2,102.8,104.1,86,0
87,103.2,102.6,104.1,87,0
88,103.1,102.5,104.2,88,0
89,103.0,102.4,104.2,89,0
90,102.9,102.2,104.1,90,0
91,103.0,102.3,104.2,91,0
92,103.2,102.6,104.2,92,0
93,103.3,102.7,104.2,93,0
94,103.2,102.5,104.3,94,0
95,103.4,102.8,104.4,95,0
96,103.4,102.6,104.8,96,0
97,103.8,103.1,105.0,97,0
98,104.1,103.5,105.1,98,0
99,104.1,103.5,105.1,99,0
100,104.2,103.6,105.1,100,0
101,104.3,103.7,105.2,101,0
102,104.7,103.9,105.9,102,0
103,105.2,104.6,106.3,103,0
104,106.5,106.1,106.8,104,0
105,107.3,107.3,107.4,105,0
106,107.9,108.0,107.8,106,0
107,108.2,108.3,108.0,107,0
108,109.0,109.3,108.4,108,0
109,111.1,111.0,110.1,109,0
110,112.3,112.4,110.7,110,0
111,114.4,114.3,112.9,111,0
112,116.0,116.6,113.4,112,0
113,116.7,117.9,112.9,113,0
114,117.2,118.6,113.0,114,0
115,118.0,119.5,113.5,115,0
116,118.5,120.1,113.8,116,0
117,119.6,121.4,114.4,117,0
118,120.5,122.4,115.1,118,0
119,120.8,122.9,115.2,119,0
120,121.9,124.3,115.5,120,0
121,123.2,126.0,116.1,121,0
122,124.7,127.9,116.5,122,0
123,125.1,128.6,116.7,123,0
124,125.7,129.4,116.8,124,0
125,125.9,129.6,117.0,125,0
126,126.0,129.6,117.2,126,0
127,126.1,129.8,117.2,127,0
128,126.0,129.7,117.1,128,0
129,125.7,129.4,116.7,129,0
130,125.5,129.3,116.6,130,0
131,125.5,129.2,116.6,131,0
132,125.2,128.9,116.5,132,0
133,124.9,128.5,116.4,133,0
134,96.5,97.0,94.7,0,1
135,96.5,97.0,94.7,1,1
136,96.8,97.5,94.8,2,1
137,96.8,97.4,94.8,3,1
138,97.0,97.6,95.0,4,1
139,97.1,97.6,95.3,5,1
140,97.7,98.3,95.6,6,1
141,97.7,98.4,95.6,7,1
142,97.5,98.1,95.6,8,1
143,97.5,98.1,95.6,9,1
144,97.5,98.1,95.6,10,1
145,97.5,98.1,95.6,11,1
146,97.7,98.3,95.7,12,1
147,97.7,98.2,95.7,13,1
148,97.7,98.2,95.7,14,1
149,98.6,99.5,96.1,15,1
150,98.8,99.5,96.6,16,1
151,98.8,99.5,96.6,17,1
152,99.4,100.0,97.6,18,1
153,99.6,100.0,98.3,19,1
154,99.6,100.0,98.3,20,1
155,99.6,100.0,98.3,21,1
156,99.6,100.0,98.5,22,1
157,99.6,100.0,98.5,23,1
158,99.6,100.0,98.5,24,1
159,99.6,100.0,98.3,25,1
160,99.9,100.3,98.5,26,1
161,99.9,100.3,98.5,27,1
162,99.8,100.1,98.6,28,1
163,99.7,100.0,98.6,29,1
164,99.7,100.0,98.6,30,1
165,99.7,100.0,98.6,31,1
166,99.7,100.0,98.6,32,1
167,99.7,100.0,98.6,33,1
168,99.9,100.2,98.9,34,1
169,99.9,100.2,98.9,35,1
170,99.9,100.2,98.9,36,1
171,99.9,100.2,98.9,37,1
172,99.9,100.2,98.9,38,1
173,99.9,100.2,98.9,39,1
174,99.8,99.9,99.2,40,1
175,99.8,99.9,99.2,41,1
176,100.1,100.2,99.4,42,1
177,100.1,100.2,99.4,43,1
178,100.1,100.2,99.4,44,1
179,100.1,100.2,99.4,45,1
180,100.3,100.4,99.7,46,1
181,100.3,100.4,99.7,47,1
182,100.3,100.4,99.7,48,1
183,100.3,100.4,99.9,49,1
184,100.2,100.2,99.9,50,1
185,100.2,100.2,99.9,51,1
186,100.3,100.2,100.1,52,1
187,100.3,100.2,100.1,53,1
188,100.0,99.8,100.1,54,1
189,99.8,99.7,100.0,55,1
190,100.0,100.1,100.0,56,1
191,100.0,100.1,100.0,57,1
192,100.0,100.0,100.0,58,1
193,100.0,100.0,100.0,59,1
194,99.6,99.5,100.0,60,1
195,99.6,99.5,100.0,61,1
196,99.5,99.3,100.0,62,1
197,99.5,99.2,100.0,63,1
198,99.5,99.2,100.0,64,1
199,99.4,99.1,100.0,65,1
200,99.4,99.3,99.8,66,1
201,98.9,98.6,99.8,67,1
202,98.9,98.6,99.8,68,1
203,98.9,98.6,99.8,69,1
204,99.0,98.8,99.8,70,1
205,99.0,98.8,99.8,71,1
206,99.0,98.8,99.8,72,1
207,99.0,98.8,99.8,73,1
208,99.0,98.8,99.8,74,1
209,99.0,98.8,99.8,75,1
210,98.9,98.6,99.8,76,1
211,98.7,98.3,99.8,77,1
212,98.9,98.4,100.1,78,1
213,98.9,98.4,100.1,79,1
214,98.5,97.9,100.1,80,1
215,98.4,97.7,100.1,81,1
216,98.0,97.2,100.1,82,1
217,98.1,97.2,100.1,83,1
218,98.1,97.3,100.1,84,1
219,98.1,97.3,100.1,85,1
220,98.1,97.3,100.1,86,1
221,97.8,96.9,100.1,87,1
222,97.8,96.9,100.1,88,1
223,97.3,96.1,100.1,89,1
224,97.1,95.9,100.1,90,1
225,96.9,95.8,99.7,91,1
226,97.0,95.8,99.8,92,1
