location,date,total,house,land
Canada,January 2012,90.8,89.4,93.8
Canada,February 2012,91.0,89.6,93.9
Canada,March 2012,91.3,89.9,94.1
Canada,April 2012,91.5,90.2,94.2
Canada,May 2012,91.7,90.4,94.4
Canada,June 2012,91.9,90.7,94.6
Canada,July 2012,92.0,90.7,94.6
Canada,August 2012,92.1,90.9,94.6
Canada,September 2012,92.3,91.1,94.8
Canada,October 2012,92.5,91.4,94.8
Canada,November 2012,92.6,91.5,94.8
Canada,December 2012,92.7,91.7,94.9
Canada,January 2013,92.8,91.8,95.0
Canada,February 2013,93.0,91.9,95.2
Canada,March 2013,93.0,92.0,95.2
Canada,April 2013,93.2,92.2,95.3
Canada,May 2013,93.4,92.4,95.4
Canada,June 2013,93.5,92.5,95.5
Canada,July 2013,93.6,92.7,95.6
Canada,August 2013,93.7,92.8,95.7
Canada,September 2013,93.8,92.8,95.7
Canada,October 2013,93.8,92.9,95.7
Canada,November 2013,93.9,92.9,95.8
Canada,December 2013,93.9,93.0,95.8
Canada,January 2014,94.1,93.3,95.9
Canada,February 2014,94.4,93.6,96.0
Canada,March 2014,94.5,93.7,96.1
Canada,April 2014,94.7,94.0,96.2
Canada,May 2014,94.8,94.1,96.3
Canada,June 2014,94.9,94.3,96.4
Canada,July 2014,94.9,94.3,96.4
Canada,August 2014,95.2,94.5,96.6
Canada,September 2014,95.3,94.6,96.6
Canada,October 2014,95.4,94.7,96.7
Canada,November 2014,95.5,94.8,96.8
Canada,December 2014,95.5,94.9,96.8
Canada,January 2015,95.5,94.8,96.9
Canada,February 2015,95.6,95.0,97.0
Canada,March 2015,95.7,95.0,97.0
Canada,April 2015,95.7,95.1,97.0
Canada,May 2015,95.9,95.1,97.6
Canada,June 2015,96.1,95.3,97.9
Canada,July 2015,96.2,95.5,97.9
Canada,August 2015,96.5,95.8,98.0
Canada,September 2015,96.6,95.9,98.0
Canada,October 2015,96.8,96.2,98.1
Canada,November 2015,96.9,96.4,98.1
Canada,December 2015,97.0,96.5,98.1
Canada,January 2016,97.1,96.7,98.1
Canada,February 2016,97.3,97.0,98.1
Canada,March 2016,97.5,97.2,98.1
Canada,April 2016,97.7,97.6,98.1
Canada,May 2016,98.5,98.5,98.5
Canada,June 2016,98.6,98.5,98.6
Canada,July 2016,99.0,99.0,98.7
Canada,August 2016,99.1,99.3,98.7
Canada,September 2016,99.3,99.3,99.0
Canada,October 2016,99.7,99.8,99.5
Canada,November 2016,99.9,99.9,100.0
Canada,December 2016,100.0,100.0,100.0
Canada,January 2017,100.1,99.9,100.4
Canada,February 2017,100.5,100.2,100.9
Canada,March 2017,100.7,100.4,101.3
Canada,April 2017,101.5,101.2,102.3
Canada,May 2017,102.2,101.7,103.1
Canada,June 2017,102.4,102.1,103.1
Canada,July 2017,102.8,102.7,103.3
Canada,August 2017,102.9,102.8,103.3
Canada,September 2017,103.1,102.9,103.6
Canada,October 2017,103.2,103.1,103.6
Canada,November 2017,103.3,103.2,103.6
Canada,December 2017,103.3,103.2,103.7
Canada,January 2018,103.3,103.2,103.7
Canada,February 2018,103.1,102.9,103.8
Canada,March 2018,103.1,102.9,103.7
Canada,April 2018,103.1,102.7,103.7
Canada,May 2018,103.1,102.7,103.8
Canada,June 2018,103.2,103.0,103.9
Canada,July 2018,103.3,103.1,103.9
Canada,August 2018,103.3,103.0,103.9
Canada,September 2018,103.3,102.9,104.0
Canada,October 2018,103.3,102.9,104.0
Canada,November 2018,103.3,102.9,104.1
Canada,December 2018,103.3,102.9,104.1
Canada,January 2019,103.2,102.8,104.1
Canada,February 2019,103.2,102.8,104.1
Canada,March 2019,103.2,102.8,104.1
Canada,April 2019,103.2,102.6,104.1
Canada,May 2019,103.1,102.5,104.2
Canada,June 2019,103.0,102.4,104.2
Canada,July 2019,102.9,102.2,104.1
Canada,August 2019,103.0,102.3,104.2
Canada,September 2019,103.2,102.6,104.2
Canada,October 2019,103.3,102.7,104.2
Canada,November 2019,103.2,102.5,104.3
Canada,December 2019,103.4,102.8,104.4
Canada,January 2020,103.4,102.6,104.8
Canada,February 2020,103.8,103.1,105.0
Canada,March 2020,104.1,103.5,105.1
Canada,April 2020,104.1,103.5,105.1
