"province","yearmo","month_alpha","year","total_price_index","house_price_index","land_price_index","region_mean_temp","region_max_temp","region_min_temp","region_mean_precip","region_mean_snow","mean_snow_grnd_last_day"
"NL","201201","January","2012",96.5,97,94.7,-6.821538461538461,5.829230769230769,-18.869230769230768,105.58301886792452,89.015625,50.14814814814815
"NL","202302","February","2023",106.2,108.8,102.4,-11.22340425531915,4.187234042553191,-24.517021276595745,69.77142857142857,71.33333333333333,28.8
"NL","202301","January","2023",106.2,108.8,102.4,-5.3446808510638295,7.212765957446808,-17.77021276595745,125.95675675675676,57.85555555555556,15.173913043478262
"NL","202212","December","2022",105.6,108.1,102.4,-1.934782608695652,6.702173913043478,-12.832608695652173,77.41944444444444,16.055555555555557,6.529411764705882
"NL","202211","November","2022",105.6,108.1,102.4,0.6739130434782609,15.317391304347826,-11.067391304347826,126.96486486486486,54.77777777777778,14.75
"NL","202210","October","2022",105.6,108.1,102.4,9.043478260869565,18.82391304347826,-0.3217391304347826,37.62702702702703,0.0666666666666666,0
"NL","202209","September","2022",105.6,108.1,102.4,13.254545454545456,25.606818181818184,3.627272727272727,111.1,0,0
"NL","202208","August","2022",105.2,107.4,102.4,17.622222222222224,27.92888888888889,8.87111111111111,87.39393939393939,0,0
"NL","202207","July","2022",105.2,107.4,102.4,15.617391304347825,27.071739130434786,6.756521739130435,117.24242424242424,0,0
"NL","202206","June","2022",105.2,107.4,102.4,12.02,25.635555555555552,-0.0666666666666667,85.25454545454545,0.0444444444444444,0
"NL","202205","May","2022",104.7,106.7,102.4,5.709090909090909,19.338636363636365,-3.9431818181818175,82.32121212121211,2.088888888888889,0
"NL","202204","April","2022",104.7,106.7,102.4,1.5818181818181818,11.504545454545454,-7.543181818181818,98.1757575757576,24.33333333333333,6.2
"NL","202203","March","2022",104.7,106.7,102.4,-4.465909090909091,8.952272727272726,-17.463636363636365,97.9060606060606,47.422222222222224,25.38095238095238
"NL","202202","February","2022",104.7,106.7,102.4,-8.549999999999999,6.479545454545455,-21.181818181818183,121.35625,70.32222222222222,25.272727272727277
"NL","202201","January","2022",104.7,106.7,102.4,-7.665909090909091,6.593181818181819,-19.963636363636365,145.0848484848485,47.333333333333336,23.19047619047619
"NL","202112","December","2021",103.5,104.7,102.4,-3.693333333333333,10.06,-14.80888888888889,114.57058823529412,63.74444444444445,18.714285714285715
"NL","202111","November","2021",103.5,104.7,102.4,3.470454545454545,12.645454545454545,-5.872727272727272,121.96363636363635,13.6,10.916666666666666
"NL","202110","October","2021",102.3,103.1,101.8,6.904545454545455,17.33409090909091,-2.290909090909091,102.33636363636364,0,3.6
"NL","202109","September","2021",102.3,103.1,101.8,12.454545454545457,24.268181818181816,1.593181818181818,138.25588235294117,0.0222222222222222,0
"NL","202108","August","2021",102.8,103.7,101.8,16.297619047619047,28.847619047619045,5.316666666666666,71.6970588235294,0,0
"NL","202107","July","2021",102.3,103.6,99.9,14.371428571428572,27.026190476190475,3.75,85.81764705882352,0,0
"NL","202106","June","2021",102.2,103.5,99.9,12.304761904761904,26.91190476190476,1.2666666666666668,71.55428571428571,0.2444444444444444,0
"NL","202105","May","2021",101.7,102.8,99.9,5.624390243902439,20.33170731707317,-2.6390243902439026,75.38000000000001,2.6444444444444444,0
"NL","202104","April","2021",102.1,103.3,99.9,3.054761904761905,13.173809523809522,-5.497619047619048,100.54285714285714,7.455555555555555,0.25
"NL","202103","March","2021",101.5,102.5,99.9,-4.240476190476191,10.72857142857143,-17.78333333333333,64.34444444444445,60.56363636363637,26.55555555555556
"NL","202102","February","2021",100.7,101.3,99.9,-6.402500000000001,5.157500000000001,-19.04,85.6125,80.75,47.60869565217392
"NL","202101","January","2021",100.7,101.3,99.9,-4.216666666666667,4.352380952380953,-14.323809523809524,50.58888888888889,33.74166666666667,17.523809523809526
"NL","202012","December","2020",100.7,101.4,99.9,-0.7177777777777777,11.853333333333332,-11.6,107.26486486486488,43.55833333333334,6.8
"NL","202011","November","2020",100.5,101.1,99.9,0.4478260869565217,13.445652173913045,-9.541304347826086,77.29722222222222,19.866666666666667,8.785714285714286
